emp_id,year_month,shift_type,votes_used
K18251,202512,2000,3
K19041,202512,3000,2
K22214,202512,3000,2
G0181,202512,3000,2
K12896,202512,3000,2
K18736,202512,3000,2
B2779,202512,3000,2
K17184,202512,3000,2
K14001,202512,3000,2
K15682,202512,3000,2
F9144,202512,3000,2
K16639,202512,3000,2
K18791,202512,3000,2
K12889,202512,3000,2
K13970,202512,3000,2
K12601,202512,3000,2
K03007,202512,3000,2
K02474,202512,2000,3
F8950,202512,3000,2
C6708,202512,3000,2
D1442,202512,2000,3
K03987,202512,2000,3
K16943,202512,2000,3
G9493,202512,3000,2
F9473,202512,3000,2
K07541,202512,3000,2
K13080,202512,3000,2
K21311,202512,3000,2
F1908,202512,2000,3
D1409,202512,3000,2
K12931,202512,3000,2
F6354,202512,3000,2
G6777,202512,3000,2
K21240,202512,3000,2
K13985,202512,3000,2
F2568,202512,3000,2
D2657,202512,3000,2
K16514,202512,3000,2
K14093,202512,3000,2
K21388,202512,3000,2
K19505,202512,2000,3
F3262,202512,2000,3
F8129,202512,3000,2
K21423,202512,3000,2
C9228,202512,3000,2
F1350,202512,3000,2
C8849,202512,3000,2
K19035,202512,3000,2
